ano,datavotacao,orientacao,sigla,tipo,DEM,PCDOB,PDT,PEN,PHS,PMB,PMDB,PMN,PP,PPS,PR,PRB,PROS,PRP,PRTB,PSB,PSC,PSD,PSDB,PSDC,PSL,PSOL,PSTU,PT,PTB,PTC,PTDOB,PTN,PV,REDE,S.PART.,SD,Apoio Médio,year,month,day,weekday,hour
1997,1998-11-25 12:04:00,Sim,GOV.,PL,1.0,1.0,0.952380952380952,0.0,0.0,0.0,0.942857142857143,0.0,0.96551724137931,0.2,1.0,0.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.969387755102041,1998,11,2,25,12
1996,2001-09-25 18:23:00,Sim,GOV.,PEC,1.0,1.0,1.0,0.0,1.0,0.0,0.984375,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.997198879551821,2001,9,1,25,18
2012,2012-07-11 19:10:00,Não,GOV.,MPV,0.0,1.0,0.928571428571429,0.0,1.0,0.0,1.0,1.0,0.952380952380952,0.0,0.1875,1.0,0.0,1.0,1.0,1.0,0.818181818181818,1.0,0.142857142857143,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.820846905537459,2012,7,2,11,19
2007,2007-11-13 11:19:00,Não,GOV.,MPV,0.166666666666667,1.0,1.0,0.0,1.0,0.0,0.967213114754098,1.0,0.964285714285714,0.0,0.962962962962963,1.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.909090909090909,0.0,0.0,0.0,0.75,2007,11,1,13,11
2016,2016-10-05 20:57:00,Sim,GOV.,PL,1.0,0.0,0.0909090909090909,0.5,0.833333333333333,0.0,0.945454545454545,0.0,0.878787878787879,1.0,0.911764705882353,1.0,0.75,1.0,0.0,0.84375,1.0,0.96,1.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.333333333333333,0.909090909090909,1.0,0.0,0.0,1.0,0.741116751269036,2016,10,2,5,20
2005,2014-02-04 21:30:00,Não,GOV.,PL,0.0588235294117647,0.1,0.0625,0.0,0.0,0.0,0.571428571428571,0.5,0.645161290322581,0.0,0.238095238095238,0.166666666666667,0.416666666666667,0.0,0.0,0.0,0.444444444444444,0.6,0.387096774193548,0.0,0.0,0.333333333333333,0.0,0.819672131147541,0.583333333333333,0.0,0.0,0.0,0.2,0.0,0.0,0.157894736842105,0.434426229508197,2014,2,1,4,21
2009,2009-05-13 20:41:00,Sim,GOV.,MPV,0.121951219512195,1.0,0.909090909090909,0.0,1.0,0.0,0.941176470588235,1.0,0.846153846153846,0.111111111111111,0.916666666666667,1.0,0.0,0.0,0.0,0.9,1.0,0.0,0.0487804878048781,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.742021276595745,2009,5,2,13,20
2003,2003-09-17 16:14:00,Não,GOV.,PEC,0.148936170212766,1.0,0.888888888888889,0.0,0.0,0.0,0.895833333333333,1.0,0.935483870967742,1.0,0.777777777777778,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.193548387096774,0.0,0.0,0.0,0.0,0.971830985915493,0.888888888888889,0.0,0.0,0.0,0.666666666666667,0.0,0.0,0.0,0.743202416918429,2003,9,2,17,16
2007,2008-03-05 18:52:00,Sim,GOV.,MPV,0.222222222222222,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.903225806451613,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.839285714285714,2008,3,2,5,18
2016,2016-06-15 17:06:00,Não,GOV.,MPV,1.0,0.0,1.0,1.0,1.0,1.0,0.956521739130435,0.0,1.0,1.0,0.96,1.0,0.0,1.0,1.0,0.954545454545455,1.0,0.958333333333333,1.0,0.0,1.0,0.0,0.0,0.027027027027027,1.0,0.0,1.0,1.0,0.8,1.0,0.0,1.0,0.830815709969788,2016,6,2,15,17
2011,2011-10-05 19:04:00,Não,GOV.,MPV,0.178571428571429,1.0,1.0,0.0,1.0,0.0,0.918367346938776,1.0,0.961538461538462,0.125,1.0,1.0,0.0,0.0,0.0,0.958333333333333,0.235294117647059,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.916666666666667,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.754491017964072,2011,10,2,5,19
1992,2000-01-25 19:09:00,Não,GOV.,PEC,0.967032967032967,1.0,1.0,0.0,0.0,0.0,0.963855421686747,0.0,0.977272727272727,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.968085106382979,0.0,1.0,0.0,0.0,0.962962962962963,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.971428571428571,2000,1,1,25,19
1997,2006-02-02 11:52:00,Sim,GOV.,PEC,1.0,1.0,1.0,0.0,0.0,0.0,0.966666666666667,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.96551724137931,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.990074441687345,2006,2,3,2,11
2015,2015-10-22 12:46:00,Sim,GOV.,PL,0.0,1.0,0.5625,1.0,1.0,0.0,0.918367346938776,1.0,0.838709677419355,0.0,1.0,0.923076923076923,0.875,0.666666666666667,0.0,0.0,0.444444444444444,0.884615384615385,0.0,1.0,1.0,0.0,0.0,0.980769230769231,0.8125,0.0,1.0,0.75,0.5,0.0,0.0,0.166666666666667,0.622784810126582,2015,10,3,22,12
2006,2006-07-11 17:43:00,Não,GOV.,MPV,0.0204081632653061,0.0,0.0,0.0,0.0,0.0,0.256410256410256,0.0,0.259259259259259,0.0,0.111111111111111,0.0,0.0,0.0,0.0,0.4,0.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.642857142857143,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170731707317073,2006,7,1,11,17
2006,2006-03-28 17:33:00,Não,GOV.,MPV,0.0512820512820513,1.0,1.0,0.0,0.0,0.0,0.962962962962963,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.985294117647059,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.880597014925373,2006,3,1,28,17
